word,definition,Example Sentence
neuropatia," Doença, caracterizada por perturbação das funções orgânicas, sem lesão aparente e que se supõe ter a sua sede no sistema nervoso. (Cp. _neuropata_) ",O uso prolongado pode causar neuropatia periférica.
neurose, Qualquer doença nervosa. Neuropatia. ,"lt;/ref&gt; O psicólogo e ex-tradutor das Organização das Nações Unidas, Claude Piron (Bélgica, 1931 - 22 de janeiro de 2008), dedicou-se à temática, abordando-a sob um ponto de vista psicológico a partir de vastíssimo material bibliográfico e documental, tratando a insistência no atual modelo de comunicação internacional como uma neurose."
neurotransmissor,,"Todos esses mecanismos citados são de extrema importância para a transmissão de impulsos nervosos, pois está associada a liberação do neurotransmissor acetilcolina  ."
neutrofilia,,Pode haver neutrofilia.
nictúria,,A primeira manifestação do diabetes insípido costuma ser nictúria pela perda de capacidade de concentração da urina no período da noite.
nidação,,"x | número=3}} Durante a nidação, as aves marinhas também afetam significativamente a ecologia das ilhas e do mar envolvente, principalmente devido à concentração de grandes quantidades de guano que enriquece o solo da região."
nistagmo," Oscilação do globo do olho, em torno ao seu eixo horizontal ou vertical. ","lt;ref name=&quot;Bartoloni 2012&quot;/&gt; Os indivíduos com ‘’’malária cerebral’’’ apresentam muitas vezes sintomas neurológicos, entre os quais postura anormal, nistagmo, paralisia do olhar conjugado (incapacidade de mover em conjunto os olhos na mesma direção), opistótono, convulsões ou coma."
nitrogênio," Nome, que se propôs para designar o azoto. ","Interferem no ritmo das estações e nos ciclos da água, do carbono, do nitrogênio e outros compostos."
nível," Instrumento, para verificar se um plano está horizontal. Horizontalidade. ","Estas faixas desaparecem à proporção em que reduz o distanciamento relacionado ao polo sul, em que mesmo ao nível do mar já se localizam regiões continuamente frias."
nódulo, Pequeno nó. ,"Em alguns gêneros epífitas, particularmente em alguns gêneros relacionados às ''Huntleya'' o caule secundário aéreo encontra-se reduzido a um nódulo ínfimo que origina as folhas."
nomenclatura, Conjunto dos vocábulos de um dicionário. Conjunto de termos peculiares a uma arte ou ciência. Método para classificar os objectos de uma ciência ou arte. Lista. ,"A '''arara-azul-grande'''Vocabulário Ortográfico da Língua Portuguesa (VOLP), verbete ''arara-grande-azul'' (nome científico: ''Anodorhynchus hyacinthinus''), também conhecida popularmente como '''arara-preta''', '''araraúna''', '''arara-hiacinta''', '''arara-jacinto''', '''araruna''' ou somente '''arara-azul''', é a maior espécie de arara (tribo dos arinos, ''Arini'') da família dos psitacídeos (''Psittacidae'') se comparado às outras três espécies de araras-azuis tipicamente sul-americanas — a arara-azul-de-lear (''Anodorhynchus leari''), a arara-azul-pequena (''Anodorhynchus glaucus'') e a ararinha-azul (''Cyanopsitta spixiii'')."
norma," Regra, preceito, lei. Modelo. ","Julio Bocca]], Jorge Donn, José Neglia e Norma Fontenla são alguns dos grandes bailarinos da era moderna."
normal," Conforme à norma; exemplar. _Escola normal_, aquela, cujos alunos se preparam para o professorado. ","br/produtos/visualg|titulo=VisuAlg|data=|acessodata=|publicado=|ultimo=|primeiro=}} O VisuAlg é um programa que edita, interpreta e executa algoritmos com uma linguagem próxima do português estruturado como um programa normal de computador."
nosologia," Parte da Medicina, que descreve, define e estuda as doenças em todas as suas circunstâncias. ",Somente quando todos esses níveis são conhecidos pode-se falar de nosologia.
notalgia," Dor na região dorsal, sem fenómenos inflamatórios. ",
nucleotí,,
nucleotídeo,,"Estes incluem: (1) reparo de excisão de nucleotídeo, (2) reparo de incompatibilidade de DNA, (3) junção de extremidade não homóloga de quebras de fita dupla, (4) reparo recombinacional e (5) reparo dependente de luz (fotoreativação)."
nulípara," Diz-se da fêmea, que nunca pariu. ","Este período fértil ocorre a cada 4 ou 6 meses, entretanto, em fêmeas nulíparas, ele pode ocorrer a cada 6 semanas."
nutrição," Acto ou efeito de nutrir. Gordura. Assimilação dos alimentos. Acto de reforçar a energia dos medicamentos, por meio de certos ingredientes. ","esperado o aumento na incidência e mudanças na distribuição geográfica de várias doenças, especialmente as cardiorrespiratórias, as infecciosas e as ligadas à má nutrição, elevando significativamente os custos com a assistência médica e social."
nutriente, O mesmo que _nutritivo_. ,bastante exigente em nutrientes.
obesidade," Qualidade de obeso. Gordura excessiva de um indivíduo, com proemenência do ventre. ",lt;/ref&gt; A Austrália tem uma das percentagens mais elevadas de obesidade entre os cidadãos das nações desenvolvidas;{{citar web|url=http://www.
obituário, Relativo a óbito. ,"Um dos fundadores do movimento cinematográfico conhecido como Nouvelle VagueObituário ''Variety'', 24 de outubro de 1984."
obstetrícia," Arte, que se ocupa dos partos. ","Embora sua tese tratasse da ginecologia e obstetrícia, Munthe fora fortemente impressionado pelo trabalho pioneiro sobre neurologia do professor Jean-Martin Charcot, chegando a assistir às suas aulas no Hospital Salpêtrière."
obstrução, Acto ou efeito de obstruir. Embaraço nos vasos ou canais de um corpo animado. Obturação. ,"Em 1979, como resultado de investigações do FBI durante a ''Operação Branca de Neve, onze pessoas seniores no Gabinete do Guardião da igreja foram condenados por obstrução da justiça, roubo de escritórios do governo e roubo de documentos de propriedade do governo."
obturador, Que obtura; que serve para obturar. ,"Por exemplo, a exposição varia segundo a abertura (que determina a quantidade de luz) multiplicado pela velocidade do obturador (que determina um tempo de exposição), o que varia o tom da foto, a profundidade de campo fotográfico e o grau de corte temporal do modelo fotografado."
oclusão," Acto de fechar. Doença, em que se suspendem as evacuações fecais. Cerramento momentaneo de uma abertura natural. ","HarvRef|Edgerton|2009|p=159}} Apesar de não ser a primeira pessoa a observar a Lua através de um telescópio (o matemático inglês Thomas Harriot já havia feito isso quatro meses antes, mas apenas viu uma &quot;mancha estranha&quot;),{{HarvRef|Edgerton|2009|p=155}} Galileu foi o primeiro a deduzir a causa da desigual como a oclusão de luz das montanhas e crateras lunares."
odontologia, O mesmo que _odontographia_. Tratado das doenças e higiene dos dentes. ,"br/public_html/verbetes/index/F|arquivodata=2 de Novembro de 2011|urlmorta=yes}} Depois essas duas faculdades, e mais as de odontologia, medicina, engenharia e serviço social uniram-se para formar a Universidade Federal de Alagoas."
oftalmologia," Tratamento medicinal do olho. Parte da Medicina, que tem por objecto o estudo dos olhos e das doenças deles. ","pdf|data=2010-04-23}}, e fornece a maioria de seus serviços gratuitamente no ponto de uso, embora haja algumas taxas para algumas pessoas por exames oftalmológicos, atendimento odontológico, prescrições e aspectos de cuidados pessoais."
oftalmologia," Tratamento medicinal do olho. Parte da Medicina, que tem por objecto o estudo dos olhos e das doenças deles. ","pdf|data=2010-04-23}}, e fornece a maioria de seus serviços gratuitamente no ponto de uso, embora haja algumas taxas para algumas pessoas por exames oftalmológicos, atendimento odontológico, prescrições e aspectos de cuidados pessoais."
oftalmoscopia, Arte de empregar o oftalmoscópio. (Cp. _oftalmoscópio_) ,"Durante um exame físico, pode-se suspeitar de hipertensão caso se verifique retinopatia hipertensiva durante a observação do fundo do globo ocular através da oftalmoscopia."
oftalmoscópio," Instrumento, para examinar a parte interior do olho. ","Possui também grandes contribuições ao estudo da fisiologia da visão e audição, entre as quais o invento do oftalmoscópio e contribuições a teoria da cor."
oligodendrócito,,"Os tipos de células da macroglia são astrócitos, oligodendrócitos e células de Schwann, ambos formados a partir de glioblastos, ''Treccani Dizionario di Medicina'' (2010)."
oligomenorreia,,"A anovulação resulta em menstruação irregular, amenorreia ou oligomenorreia e infertilidade."
oligúria,,"São observados desidratação, catarata, hepatomegalia, vômito, oligúria, depressão e coma."
ombro, A parte mais alta do braço humano. Espádua. ,"Por exemplo, levantar os braços é uma abdução do ombro."
omia,,lt;ref&gt;{{Citar web |url=http://omia.
oncogênese,,"Durante 1966-1967, ele publicou vários outros artigos sobre o assunto, incluindo um artigo resumindo a relevância dos antígenos Hu-1 para oncogênese e transplante, desenvolvimento do uso de plaquetas teste de fixação de complementação para identificar quais antígenos estão presentes, e a descoberta de que Hu-1 é homólogo ao complexo H-2 de camundongo, que também atua na histocompatibilidade."
oncologia, Estudo dos tumores. ,"net/Artigos/Novo-instituto-oncologico-angolano-quer-ser-instituicao-de-referencia-no-continente=004333|título=Novo instituto oncológico angolano quer ser instituição de referência no continente|data=11-09-2014|publicado=Ver Angola|wayb=20141006134912|urlmorta=sim}} O objectivo deste novo centro é assegurar a assistência médica e medicamentosa em oncologia, a implementação de políticas, programas e planos nacionais de prevenção, bem como o tratamento especializado."
ondas de choque,,"Uma das hipóteses de sua origem seria que as ondas de choque geradas pelo impacto na bacia Caloris viajaram em torno do planeta, convergindo na antípoda da bacia."
ooforectomia, Ablação do ovário. ,O ato consiste na extirpação das gônadas (gonadectomia): testículos na castração masculina (orquiectomia);  ovários na castração feminina (ooforectomia).
opióide,,"agonista opióide muito fraco, usado em dores agudas e crónicas moderadas."
oral," Relativo à boca. Que é articulado ou pronunciado, (em oposição a _escrito_): _linguagem oral_. ","quot;Kleos Aphthiton and Oral Theory,&quot; ''Classical Quarterly'', 38 (1988): pp."
orquiectomia,,O ato consiste na extirpação das gônadas (gonadectomia): testículos na castração masculina (orquiectomia);  ovários na castração feminina (ooforectomia).
ortopedia, Arte de prevenir ou corrigir as deformidades do corpo. ,"Referência nas áreas de trauma, neurocirurgia, neurologia, cirurgia geral, clínica médica e ortopedia, possui 704 leitos registrados no Ministério da Saúde (MS) para atender a demanda que lhe é submetida."
ortopneia," Dificuldade de respirar, que obriga a estar em pé; asma. ","lt;ref name=NICEChp1/&gt; A falta de ar geralmente agrava-se com o exercício físico ou em posição deitada, e é capaz de acordar a pessoa durante a noite."
osso," Parte dura e sólida, que forma o arcaboiço do corpo dos animais vertebrados. Fragmento ou parte desse arcaboiço. ","Aves''' são uma classe de seres vivos vertebrados endotérmicos caracterizada pela presença de penas, um bico sem dentes, oviparidade de casca rígida, elevado metabolismo, um coração com quatro câmaras e um esqueleto pneumático resistente e leve."
osteíte, Inflamação do tecido ósseo. ,"lt;ref name=&quot;placar1342&quot;/&gt; Seu rendimento foi prejudicado por pubalgias, que lhe fizeram ficar fora dos gramados duas vezes por mais de um mês."
