Term,Example Sentence
Otite,lt;ref&gt;{{citar periódico|ultimo=Linzmeier|primeiro=Geise|data=Janeiro de 2009|titulo=Otite Externa|url=http://www.
Otorrinolaringologia,"Em 2020, um grupo de otorrinolaringologistas de Itália, encontraram uma nova pista que pode apontar para a origem da perda auditiva de Beethoven."
Otorrinolaringologista,"Em 1891, o otorrinolaringologista americano John Roe apresentou um exemplo de seu trabalho: uma jovem em quem ele reduziu uma corcunda dorsal nasal para indicações cosméticas."
Otososcópio,NA
Ovário,"Por outro lado, quando o descascamento é feito de modo mais profundo, a superfície mostra-se toda perfurada, por ficarem expostas as lojas ou lóculos dos ovários dos frutilhos."
Ovulação,"O ciclo estral dura aproximadamente 7,5 dias, e o período de ovulação dura até 8 horas."
Oxidação,"Outro exemplo de reações rápidas são as oxidações de metais nobres, que produzem óxidos extremamente resistentes e aderentes que impedem a continuidade da reação (passivação), como com o ouro ou o cromo, presente no aço inoxidável."
Oxigenação,"Todos os ecossistemas marinhos dependem fortemente das condições do mar próximas da superfície, entre outros motivos, porque ali se realiza a maior parte da oxigenação da água e ali principalmente viceja o plâncton, que está na base das cadeias alimentares marinhas, e nesta camada superficial as águas são mais sujeitas à influência da atmosfera."
Oxigênio,"Em função do desequilíbrio hídrico, em algumas regiões subtropicais está prevista tendência à desertificação, perdendo-se áreas férteis necessárias às lavouras e diminuindo a superfície coberta por florestas, de onde o homem obtém madeira e vários outros produtos naturais valiosos, e que são responsáveis por boa parte da produção de oxigênio e da redução dos níveis de gás carbônico."
Oxigenoterapia,"As aplicações habituais do oxigénio incluem, entre outras, o seu uso em calefações residenciais e motores de combustão interna, a produção de aço, plásticos e têxteis, aplicações de corte industrial e soldadura de aços e outros metais, como propulsor para foguetes, para terapias de oxigénio e sistemas de suporte à vida em aeronaves, submarinos, naves espaciais tripuladas e mergulho."
Oximetria,"Posteriormente, além da monitorização cardíaca foram introduzidos novos meios tecnológicos, como oximetria, monitorização hemodinâmica, monitorização da pressão intra-craniana, e outros procedimentos invasivos ou não que permitem uma ampla avaliação em tempo real das funções orgânicas e intervenções antes inviáveis."
Pacemaker,com/article/2492453/malware-vulnerabilities/pacemaker-hack-can-deliver-deadly-830-volt-jolt.
Paciente,"id=GWySPwAACAAJ&amp;source=kp_book_description&amp;redir_esc=y|título=Antropologia da doença|ultimo=Laplantine|primeiro=François|data=1991|editora=Martins Fontes|lingua=pt}} Ele se concentra nos seguintes seis campos básicos: 1) o desenvolvimento de sistemas de conhecimento médico e assistência médica; 2) a relação médico-paciente; 3) a integração de sistemas médicos alternativos em ambientes culturalmente diversos; 4) a interação de fatores sociais, ambientais e biológicos que influenciam a saúde e a doença tanto do indivíduo quanto da comunidade como um todo; 5) a análise crítica da interação entre os serviços psiquiátricos e as populações migrantes (&quot;etnopsiquiatria crítica&quot;); 6) o impacto da biomedicina e tecnologias biomédicas em ambientes não ocidentais."
Paladar,"O abacaxi é um fruto-símbolo de regiões tropicais e subtropicais, de grande aceitação em todo o mundo, quer ao natural, quer industrializado: agrada aos olhos, ao paladar e ao olfato."
Paliativo,"Em seus últimos anos de vida, sofria de câncer de cólon — diagnosticado em 2021 — e entrou em cuidado paliativo em 2022."
Palpação,"Antes da época dos procedimentos médicos modernos, os principais meios para o estudo da estrutura do corpo eram a palpação e a dissecação."
Palpitação,Em 20 de setembro ele apresentou &quot;uma palpitação inconfortável no coração&quot; e seus médicos recomendaram de imediato a interrupção do trabalho e que fosse viver no campo por algumas semanas.
Pancreatite,"carece de fontes|data=abril de 2017}} Segundo um desses estudos, Pessoa não revelava alguns dos sintomas mais típicos de cirrose hepática, tendo provavelmente sido vítima de uma pancreatite aguda ou, de acordo com o seu assento de óbito, &quot;obstrução intestinal&quot;."
Pandemia,"Epidemias recentes de gripe aviária, Vírus Ebola e síndrome respiratória aguda grave, que custaram muitas vidas e enormes recursos financeiros, são exemplo dramáticos de zoonoses que provavelmente se tornarão mais frequentes, e sob certas circunstâncias podem degenerar em perigosas pandemias."
Papel de ECG,NA
Papila,na língua que se situam a maioria das papilas gustativas.
Papiloma,align=&quot;center&quot;|&quot;por sua descoberta dos vírus do papiloma humano que causam câncer cervical&quot;{{citar web|título=The Nobel Prize in Physiology or Medicine 2008|url=http://www.
Paracentese,"O tratamento geralmente consiste numa dieta pobre em sal, em medicamentos diuréticos e drenagem do líquido."
Paralisia,"No início de 1990, a Itália enfrentou desafios significativos, devido aos eleitores — desencantados com a paralisia política, a dívida pública enorme e extensa corrupção do sistema (conhecida como ''Tangentopoli'') descoberto pela &quot;Operação Mãos Limpas&quot; — exigirem reformas radicais."
Paramédico,"Fora de Vaduz, cada cidade tem um serviço de emergência operado por clínicos gerais e especialistas, além de paramédicos que viajam com o serviço de ambulância."
Paraparesia,"Entre 1% e 2% desenvolvem mielopatia/paraparesia espástica tropical, um quadro neurológico degenerativo crônico."
Paraplegia,"Roosevelt]], que necessitou de usar cadeira de rodas como resultado da sua paraplegia."
Parasitologia,"Estrutura dos seres vivos:''' ciências morfológicas (biologia celular, histologia), fisiologia, genética, biologia molecular e bioquímica, genética e evolução, microbiologia e parasitologia."
Parenteral,"A deficiência de selênio é relativamente rara, porém pode ocorrer em pacientes com disfunções intestinais severas ou com nutrição exclusivamente parenteral, assim como em populações que dependem de alimentos cultivados em solos pobres de selênio."
Paresia,"O incidente foi posteriormente atribuído à paresia geral atípica devido à sífilis terciária, mas esse diagnóstico tem sido enfrentado pelos leitores e estudiosos da obra de Nietzsche."
Parestesia,"As reações físicas ao LSD são marcadamente temporárias, extremamente variáveis e podem incluir o seguinte: contrações uterinas, hipotermia ou hipertermia, níveis elevados de glicemia, piloereção (na pele), aumento da frequência cardíaca, mandíbula presa, transpiração, pupilas dilatadas, produção de muco, insônia, parestesia, euforia, hiperreflexia, tremores e sinestesia."
Parto,"Entretanto, mesmo assistida pelas deusas Dione, Reia, Icneia, Têmis e Anfitrite, por nove dias e nove noites Leto sofreu as dores do parto sem que Apolo nascesse, uma vez que Hera havia impedido Ilícia, a deusa dos partos, de socorrê-la."
Patela,"Juntos, esses dois esqueletos representam os resquícios mais completos, incluindo elementos ossos anteriormente não registrados (como patelas e vários ossos da asa)."
Patogênese,"Juntamente com basófilos e mastócitos, são importantes mediadores das respostas alérgicas e patogênese da asma e estão associados com a severidade da doença."
Patogênico,"Dessa maneira, particularmente quando o nível do líquido está próximo do fim, aumenta a concentração de possíveis elementos patogênicos."
Patologia,"Estudo do sistema biológico em nível molecular''': Apresenta a visão bioquímica de processos e fenômenos da biologia celular, fisiologia e imunologia,  transmissão de genes (biologia molecular), patologia."
Pediatria,option=com_content&amp;view=article&amp;id=330&amp;catid=13&amp;Itemid=59|titulo=Pediatria do HGRS se destaca em seminário de avaliação|publicado=Secretária de Saúde do Estado da Bahia|data=29 de novembro de 2011|acessodata=7 de maio de 2014|arquivodata=21 de julho de 2014|arquivourl=https://web.
Pelagra,"A sua consequência foi a proliferação das doenças infecciosas (sífilis, tuberculose) ou relacionadas com a má alimentação (pelagra, raquitismo, escorbuto)."
Pele,lt;/ref&gt;{{Citar periódico |titulo=For a Right to Health Beyond Biopolitics: The Politics of Pandemic and the ‘Politics of Life’ |data=2 de fevereiro de 2021 |publicado=SAGE Publications |ultimo=Pele |primeiro=Antonio |ultimo2=Riley |primeiro2=Stephen |doi=10.
Pélvis,"Anexados à coluna estão 13 costelas, o ombro e a pélvis."
Penetração,"Embora tenha, desde o início da sua presença em Luanda e Benguela, havido ocasionais incursões dos portugueses para lá dos pequenos territórios sob o seu controle, esforços sérios de penetração no interior apenas começaram nas primeiras décadas do {{séc|XIX}}, abrandado em meados daquele século, mas recomeçando com mais vigor nas suas últimas décadas."
Pênfigo,"Em 1957, Aparecida Conceição Ferreira, a &quot;Dona Cida&quot;, funda o &quot;Hospital do Fogo Selvagem&quot;, referência nacional no tratamento do pênfigo foliáceo."
Péptido,"Particularmente importantes são os antibióticos, incluindo as penicilinas, um grupo estruturalmente relacionado de antibióticos betalactâmicos sintetizados a partir de pequenos péptidos."
Percepção,script=sci_arttext&amp;pid=S2175-80262017000300047|titulo=Aprendizagem do Português por imigrantes Haitianos: Percepção das Consoantes Liquidas l e r|autor=Susiele Machry da Silva|data=10-07-2017|publicado=Scielo|acessodata=13-04-2020}} em algumas ilhas do Caribe{{citar web|url=https://www.
Perda,"Enlouquecido de dor pela perda de seu amigo (e possível amante), Aquiles saltou sem armas para o campo de batalha produzindo um bramido demente que o exército troiano achou se tratar de um louco insano."
Perfusão,"Após o tecido ter sido perfundido, os capilares se unem e se espessam até formarem vênulas, que continuam se unindo e se espessando até formarem as veias, que levam o sangue de volta ao coração."
Pericardiocentese,O líquido pode ser removido através de um procedimento denominado pericardiocentese.
Pericardite,A inflamação do pericárdio denomina-se pericardite.
Perimetria,"Para o diagnóstico é utilizado exames de imagem como a tomografia computadorizada, a ressonância magnética e Perimetria do Movimento para excluir a presença de tumores."
Perinatal,"A taxa de mortalidade perinatal caiu de 12,0 por {{Fmtn|1000}} em 1972 para 5,4 por mil em 2001."
Periódico,lt;ref name=&quot;Discovery 2016&quot;&gt;{{citar periódico|título=Einstein's gravitational waves found at last |periódico=Nature News| url=http://www.
Peristalse,"text bytes=""10179"" xml:space=""preserve"">O '''movimento peristáltico''' (também chamado de '''peristaltismo''' e '''peristalse''') é uma contração e relaxamento radialmente simétrico dos músculos que se propaga em uma onda por um tubo, em uma direção anterógrada."
Peristaltismo,"text bytes=""10179"" xml:space=""preserve"">O '''movimento peristáltico''' (também chamado de '''peristaltismo''' e '''peristalse''') é uma contração e relaxamento radialmente simétrico dos músculos que se propaga em uma onda por um tubo, em uma direção anterógrada."
Peritonite,Stella morreu pouco depois de sua lua de mel em razão de uma peritonite.
